	wix
2016-03-17	20.110001
2016-03-18	20.0
2016-03-21	19.879999
2016-03-22	19.58
2016-03-23	19.59
2016-03-24	19.700001
2016-03-25	19.700001
2016-03-28	19.76
2016-03-29	20.0
2016-03-30	20.15
2016-03-31	20.27
2016-04-01	20.02
2016-04-04	20.799999
2016-04-05	20.52
2016-04-06	21.24
2016-04-07	21.01
2016-04-08	21.129999
2016-04-11	20.93
2016-04-12	21.280001
2016-04-13	21.4
2016-04-14	22.34
2016-04-15	22.620001
2016-04-18	22.9
2016-04-19	23.299999
2016-04-20	23.940001
2016-04-21	23.959999
2016-04-22	24.34
2016-04-25	24.4
2016-04-26	24.18
2016-04-27	24.35
2016-04-28	24.68
2016-04-29	24.719999
2016-05-02	24.860001
2016-05-03	24.41
2016-05-04	24.959999
2016-05-05	25.4
2016-05-06	25.6
2016-05-09	25.690001
2016-05-10	26.25
2016-05-11	26.51
2016-05-12	26.5
2016-05-13	26.42
2016-05-16	25.889999
2016-05-17	25.35
2016-05-18	25.950001
2016-05-19	25.639999
2016-05-20	26.27
2016-05-23	25.629999
2016-05-24	25.879999
2016-05-25	26.16
2016-05-26	26.24
2016-05-27	26.82
2016-05-30	26.82
2016-05-31	27.66
2016-06-01	27.23
2016-06-02	27.52
2016-06-03	26.950001
2016-06-06	27.030001
2016-06-07	27.5
2016-06-08	27.950001
2016-06-09	29.139999
2016-06-10	28.889999
2016-06-13	27.75
2016-06-14	28.15
2016-06-15	28.040001
2016-06-16	27.5
2016-06-17	27.209999
2016-06-20	27.76
2016-06-21	27.48
2016-06-22	27.780001
2016-06-23	27.9
2016-06-24	27.5
2016-06-27	27.41
2016-06-28	28.51
2016-06-29	29.959999
2016-06-30	30.35
2016-07-01	30.709999
2016-07-04	30.709999
2016-07-05	30.809999
2016-07-06	30.57
2016-07-07	30.92
2016-07-08	31.469999
2016-07-11	31.700001
2016-07-12	31.809999
2016-07-13	31.48
2016-07-14	31.07
2016-07-15	31.32
2016-07-18	31.450001
2016-07-19	31.18
2016-07-20	31.77
2016-07-21	30.91
2016-07-22	31.07
2016-07-25	31.540001
2016-07-26	31.65
2016-07-27	36.52
2016-07-28	35.91
2016-07-29	35.599998
2016-08-01	35.98
2016-08-02	35.869999
2016-08-03	35.27
2016-08-04	36.0
2016-08-05	36.169998
2016-08-08	36.990002
2016-08-09	38.110001
2016-08-10	38.380001
2016-08-11	38.700001
2016-08-12	38.700001
2016-08-15	38.360001
2016-08-16	38.130001
2016-08-17	37.66
2016-08-18	38.349998
2016-08-19	38.610001
2016-08-22	38.439999
2016-08-23	39.630001
2016-08-24	40.119999
2016-08-25	40.189999
2016-08-26	40.34
2016-08-29	40.310001
2016-08-30	41.799999
2016-08-31	41.82
2016-09-01	41.880001
2016-09-02	42.349998
2016-09-05	42.349998
2016-09-06	43.259998
2016-09-07	44.439999
2016-09-08	43.580002
2016-09-09	42.18
2016-09-12	42.349998
2016-09-13	41.869999
2016-09-14	43.25
2016-09-15	43.240002
2016-09-16	44.220001
2016-09-19	44.630001
2016-09-20	45.439999
2016-09-21	44.400002
2016-09-22	45.290001
2016-09-23	43.279999
2016-09-26	43.689999
2016-09-27	44.080002
2016-09-28	44.099998
2016-09-29	43.98
